sicaklik,mq7,mq135,toz,event_label
19.94,0.035153,0.543434,1.499966,2
23.85,0.027952,0.610802,0.182963,4
25.3,0.005006,0.699782,0.223448,3
20.32,0.005828,0.128855,0.215087,0
23.04,0.00601,0.268786,0.16766,0
25.65,0.029191,0.530263,0.201742,4
21.19,0.007536,1.81699,3.391423,1
21.42,0.005121,1.955471,5.781412,1
24.05,0.005424,1.074727,0.18273,3
27.5,0.021688,0.693306,0.238699,4
22.82,0.005078,2.9704,3.277797,1
23.01,0.005099,1.05591,4.348867,1
23.67,0.005896,1.002323,0.245396,3
24.69,0.011494,0.885748,0.182537,4
23.38,0.00503,2.084381,2.481121,1
21.05,0.034822,0.864471,0.883895,2
21.43,0.003997,3.840754,3.225156,1
21.52,0.041126,0.708347,1.177915,2
24.01,0.028719,1.060868,0.939888,2
22.92,0.005681,0.212509,0.193469,0
23.16,0.004805,0.24518,0.180312,0
22.26,0.005955,1.107623,0.242662,3
21.28,0.005081,3.118691,4.326186,1
22.98,0.004677,0.15042,0.24779,0
20.24,0.039717,0.727554,1.632714,2
20.99,0.042993,0.54069,1.112173,2
23.48,0.005416,3.109365,3.20204,1
21.72,0.004899,0.159351,0.263353,0
22.32,0.00335,0.181658,0.184983,0
22.08,0.015919,0.886425,0.149377,4
23.34,0.034816,0.573593,1.277733,2
22.43,0.00469,1.693968,5.423271,1
23.73,0.005573,0.753039,0.204545,3
27.03,0.027721,0.594058,0.135805,4
22.34,0.025429,1.237774,1.170045,2
23.58,0.004908,0.228658,0.111218,0
21.91,0.030689,0.798739,1.233812,2
26.45,0.025426,0.586754,0.149711,4
21.81,0.004651,0.251329,0.228601,0
24.01,0.029816,0.838048,0.171545,4
20.38,0.005142,0.178309,0.147594,0
22.96,0.002761,2.907034,4.838074,1
21.12,0.031098,0.55532,1.770623,2
22.9,0.003839,0.249189,0.209825,0
27.09,0.029147,0.601591,0.170398,4
24.97,0.02893,0.908296,0.18431,4
23.4,0.005523,1.13003,0.224381,3
